Year,State Name,District,Area,Production,Yield,Rainfall
1966,West Bengal,24 Parganas,603.36,628.09,1040.99,1817.0
1967,West Bengal,24 Parganas,618.82,682.16,1102.36,2104.45
1968,West Bengal,24 Parganas,615.7,703.49,1142.59,2488.25
1969,West Bengal,24 Parganas,633.2,672.19,1061.58,1914.45
1970,West Bengal,24 Parganas,582.4,475.7,816.79,2175.4
1971,West Bengal,24 Parganas,614.2,566.56,922.44,2663.3
1972,West Bengal,24 Parganas,615.9,621.12,1008.48,1873.9
1973,West Bengal,24 Parganas,623.3,707.08,1134.41,2269.9
1974,West Bengal,24 Parganas,644.7,763.56,1184.36,2406.15
1975,West Bengal,24 Parganas,661.1,800.43,1210.75,2064.9
1976,West Bengal,24 Parganas,634.8,667.45,1051.43,2017.25
1977,West Bengal,24 Parganas,652.6,892.15,1367.07,2373.55
1978,West Bengal,24 Parganas,613.0,677.82,1105.74,2125.15
1979,West Bengal,24 Parganas,622.0,692.99,1114.13,1834.8
1980,West Bengal,24 Parganas,639.8,926.42,1447.98,2334.8
1981,West Bengal,24 Parganas,704.88,744.16,1055.73,2439.15
1982,West Bengal,24 Parganas,657.73,631.43,960.01,1724.35
1983,West Bengal,24 Parganas,694.1,1002.32,1444.06,2151.2
1984,West Bengal,24 Parganas,649.72,1052.13,1619.36,2290.05
1985,West Bengal,24 Parganas,641.0,884.14,1379.31,2225.65
1986,West Bengal,24 Parganas,648.75,844.55,1301.81,2078.2
1987,West Bengal,24 Parganas,680.6,1200.36,1763.68,2388.5
1988,West Bengal,24 Parganas,702.16,1305.96,1859.92,2411.45
1989,West Bengal,24 Parganas,705.99,1378.13,1952.05,2240.45
1990,West Bengal,24 Parganas,705.36,1156.57,1639.69,2763.3
1991,West Bengal,24 Parganas,714.03,1525.2,2136.04,2340.75
1992,West Bengal,24 Parganas,719.0,1468.24,2042.06,1886.7
1993,West Bengal,24 Parganas,734.04,1454.93,1982.09,2327.8
1994,West Bengal,24 Parganas,725.37,1475.89,2034.67,1829.05
1995,West Bengal,24 Parganas,717.51,1328.02,1850.87,2746.9
1996,West Bengal,24 Parganas,715.98,1469.53,2052.47,2152.15
1997,West Bengal,24 Parganas,736.55,1320.68,1793.06,2104.55
1998,West Bengal,24 Parganas,783.63,1612.64,2057.91,2643.9
1999,West Bengal,24 Parganas,787.21,1763.13,2239.72,2640.15
2000,West Bengal,24 Parganas,699.81,1507.89,2154.71,2240.05
2001,West Bengal,24 Parganas,761.14,1859.06,2442.47,2076.6
2002,West Bengal,24 Parganas,721.17,1692.32,2346.63,2080.15
2003,West Bengal,24 Parganas,714.91,1671.21,2337.65,2110.0
2004,West Bengal,24 Parganas,662.51,1598.87,2413.35,2142.05
2005,West Bengal,24 Parganas,673.08,1562.67,2321.67,2206.3
2006,West Bengal,24 Parganas,693.07,1637.07,2362.06,1961.3
2007,West Bengal,24 Parganas,666.1,1541.4,2314.07,2290.15
2008,West Bengal,24 Parganas,690.5,1656.9,2399.57,2122.55
2009,West Bengal,24 Parganas,619.1,1463.8,2364.4,1819.8
2010,West Bengal,24 Parganas,595.7,1462.91,2455.78,1838.55
2011,West Bengal,24 Parganas,610.43,1500.62,2458.3,2052.6
2012,West Bengal,24 Parganas,595.84,1553.5,2607.24,1950.1
2013,West Bengal,24 Parganas,612.93,1658.81,2706.36,2085.1
2014,West Bengal,24 Parganas,620.48,1702.5,2743.84,1792.0
2015,West Bengal,24 Parganas,622.27,1602.26,2574.86,2024.45
1966,West Bengal,Nadia,204.87,133.21,650.22,1817.0
1967,West Bengal,Nadia,208.44,189.69,910.05,2104.45
1968,West Bengal,Nadia,233.3,176.28,755.59,2488.25
1969,West Bengal,Nadia,215.3,196.53,912.82,1914.45
1970,West Bengal,Nadia,206.8,176.83,855.08,2175.4
1971,West Bengal,Nadia,155.7,100.0,642.26,2663.3
1972,West Bengal,Nadia,216.0,180.63,836.25,1873.9
1973,West Bengal,Nadia,204.3,184.75,904.31,2269.9
1974,West Bengal,Nadia,240.7,259.25,1077.07,2406.15
1975,West Bengal,Nadia,245.7,277.09,1127.76,2064.9
1976,West Bengal,Nadia,238.6,209.95,879.92,2017.25
1977,West Bengal,Nadia,225.6,302.45,1340.65,2373.55
1978,West Bengal,Nadia,171.9,212.69,1237.29,2125.15
1979,West Bengal,Nadia,208.7,272.86,1307.43,1834.8
1980,West Bengal,Nadia,208.4,280.5,1345.97,2334.8
1981,West Bengal,Nadia,222.36,276.61,1243.97,2439.15
1982,West Bengal,Nadia,207.48,234.71,1131.24,1724.35
1983,West Bengal,Nadia,232.23,359.66,1548.72,2151.2
1984,West Bengal,Nadia,211.78,396.7,1873.17,2290.05
