Year,State Name,District,Area,Production,Yield,Rainfall,Predicted_Yield,FraudScore
1966,West Bengal,24 Parganas,603.36,628.09,1040.99,1817.0,1066.914300000001,25.92430000000104
1967,West Bengal,24 Parganas,618.82,682.16,1102.36,2104.45,1103.5698000000007,1.2098000000007687
1968,West Bengal,24 Parganas,615.7,703.49,1142.59,2488.25,1137.7286000000013,4.861399999998639
1969,West Bengal,24 Parganas,633.2,672.19,1061.58,1914.45,1072.7501000000013,11.170100000001412
1970,West Bengal,24 Parganas,582.4,475.7,816.79,2175.4,913.1481999999993,96.35819999999933
1971,West Bengal,24 Parganas,614.2,566.56,922.44,2663.3,967.1680000000009,44.72800000000086
1972,West Bengal,24 Parganas,615.9,621.12,1008.48,1873.9,1029.9121999999998,21.43219999999974
1973,West Bengal,24 Parganas,623.3,707.08,1134.41,2269.9,1151.588000000002,17.17800000000193
1974,West Bengal,24 Parganas,644.7,763.56,1184.36,2406.15,1193.7496000000003,9.389600000000428
1975,West Bengal,24 Parganas,661.1,800.43,1210.75,2064.9,1197.7911,12.958900000000085
1976,West Bengal,24 Parganas,634.8,667.45,1051.43,2017.25,1060.084100000001,8.65410000000088
1977,West Bengal,24 Parganas,652.6,892.15,1367.07,2373.55,1337.4977000000013,29.572299999998677
1978,West Bengal,24 Parganas,613.0,677.82,1105.74,2125.15,1094.5087000000012,11.231299999998782
1979,West Bengal,24 Parganas,622.0,692.99,1114.13,1834.8,1111.5316000000012,2.5983999999989464
1980,West Bengal,24 Parganas,639.8,926.42,1447.98,2334.8,1410.5562999999997,37.42370000000028
1981,West Bengal,24 Parganas,704.88,744.16,1055.73,2439.15,1077.6376999999995,21.907699999999522
1982,West Bengal,24 Parganas,657.73,631.43,960.01,1724.35,1002.0527999999996,42.0427999999996
1983,West Bengal,24 Parganas,694.1,1002.32,1444.06,2151.2,1481.1968999999988,37.13689999999883
1984,West Bengal,24 Parganas,649.72,1052.13,1619.36,2290.05,1652.2730999999987,32.91309999999885
1985,West Bengal,24 Parganas,641.0,884.14,1379.31,2225.65,1365.2730999999992,14.036900000000742
1986,West Bengal,24 Parganas,648.75,844.55,1301.81,2078.2,1292.6304999999988,9.179500000001099
1987,West Bengal,24 Parganas,680.6,1200.36,1763.68,2388.5,1897.6385999999975,133.95859999999743
1988,West Bengal,24 Parganas,702.16,1305.96,1859.92,2411.45,1877.0596000000014,17.139600000001337
1989,West Bengal,24 Parganas,705.99,1378.13,1952.05,2240.45,1868.7091000000007,83.34089999999924
1990,West Bengal,24 Parganas,705.36,1156.57,1639.69,2763.3,1665.1237000000008,25.433700000000727
1991,West Bengal,24 Parganas,714.03,1525.2,2136.04,2340.75,2111.0504000000005,24.989599999999427
1992,West Bengal,24 Parganas,719.0,1468.24,2042.06,1886.7,2038.367499999999,3.6925000000010186
1993,West Bengal,24 Parganas,734.04,1454.93,1982.09,2327.8,1926.5578999999987,55.532100000001265
1994,West Bengal,24 Parganas,725.37,1475.89,2034.67,1829.05,2036.9942000000021,2.3242000000020653
1995,West Bengal,24 Parganas,717.51,1328.02,1850.87,2746.9,1827.2533999999987,23.6166000000012
1996,West Bengal,24 Parganas,715.98,1469.53,2052.47,2152.15,2025.7856999999995,26.68430000000035
1997,West Bengal,24 Parganas,736.55,1320.68,1793.06,2104.55,1871.2734,78.21340000000009
1998,West Bengal,24 Parganas,783.63,1612.64,2057.91,2643.9,2091.187800000001,33.27780000000121
1999,West Bengal,24 Parganas,787.21,1763.13,2239.72,2640.15,2031.620900000002,208.09909999999786
2000,West Bengal,24 Parganas,699.81,1507.89,2154.71,2240.05,2146.193399999999,8.516600000000835
2001,West Bengal,24 Parganas,761.14,1859.06,2442.47,2076.6,2399.1126000000017,43.35739999999805
2002,West Bengal,24 Parganas,721.17,1692.32,2346.63,2080.15,2330.916500000001,15.71349999999893
2003,West Bengal,24 Parganas,714.91,1671.21,2337.65,2110.0,2325.1467999999986,12.50320000000147
2004,West Bengal,24 Parganas,662.51,1598.87,2413.35,2142.05,2475.5882000000024,62.23820000000251
2005,West Bengal,24 Parganas,673.08,1562.67,2321.67,2206.3,2442.2612000000026,120.59120000000257
2006,West Bengal,24 Parganas,693.07,1637.07,2362.06,1961.3,2383.8248999999996,21.76489999999967
