Year,State Name,District,Area,Production,Yield
1966,West Bengal,24 Parganas,603.36,628.09,1040.99
1967,West Bengal,24 Parganas,618.82,682.16,1102.36
1968,West Bengal,24 Parganas,615.7,703.49,1142.59
1969,West Bengal,24 Parganas,633.2,672.19,1061.58
1970,West Bengal,24 Parganas,582.4,475.7,816.79
1971,West Bengal,24 Parganas,614.2,566.56,922.44
1972,West Bengal,24 Parganas,615.9,621.12,1008.48
1973,West Bengal,24 Parganas,623.3,707.08,1134.41
1974,West Bengal,24 Parganas,644.7,763.56,1184.36
1975,West Bengal,24 Parganas,661.1,800.43,1210.75
1976,West Bengal,24 Parganas,634.8,667.45,1051.43
1977,West Bengal,24 Parganas,652.6,892.15,1367.07
1978,West Bengal,24 Parganas,613.0,677.82,1105.74
1979,West Bengal,24 Parganas,622.0,692.99,1114.13
1980,West Bengal,24 Parganas,639.8,926.42,1447.98
1981,West Bengal,24 Parganas,704.88,744.16,1055.73
1982,West Bengal,24 Parganas,657.73,631.43,960.01
1983,West Bengal,24 Parganas,694.1,1002.32,1444.06
1984,West Bengal,24 Parganas,649.72,1052.13,1619.36
1985,West Bengal,24 Parganas,641.0,884.14,1379.31
1986,West Bengal,24 Parganas,648.75,844.55,1301.81
1987,West Bengal,24 Parganas,680.6,1200.36,1763.68
1988,West Bengal,24 Parganas,702.16,1305.96,1859.92
1989,West Bengal,24 Parganas,705.99,1378.13,1952.05
1990,West Bengal,24 Parganas,705.36,1156.57,1639.69
1991,West Bengal,24 Parganas,714.03,1525.2,2136.04
1992,West Bengal,24 Parganas,719.0,1468.24,2042.06
1993,West Bengal,24 Parganas,734.04,1454.93,1982.09
1994,West Bengal,24 Parganas,725.37,1475.89,2034.67
1995,West Bengal,24 Parganas,717.51,1328.02,1850.87
1996,West Bengal,24 Parganas,715.98,1469.53,2052.47
1997,West Bengal,24 Parganas,736.55,1320.68,1793.06
1998,West Bengal,24 Parganas,783.63,1612.64,2057.91
1999,West Bengal,24 Parganas,787.21,1763.13,2239.72
2000,West Bengal,24 Parganas,699.81,1507.89,2154.71
2001,West Bengal,24 Parganas,761.14,1859.06,2442.47
2002,West Bengal,24 Parganas,721.17,1692.32,2346.63
2003,West Bengal,24 Parganas,714.91,1671.21,2337.65
2004,West Bengal,24 Parganas,662.51,1598.87,2413.35
2005,West Bengal,24 Parganas,673.08,1562.67,2321.67
2006,West Bengal,24 Parganas,693.07,1637.07,2362.06
2007,West Bengal,24 Parganas,666.1,1541.4,2314.07
2008,West Bengal,24 Parganas,690.5,1656.9,2399.57
2009,West Bengal,24 Parganas,619.1,1463.8,2364.4
2010,West Bengal,24 Parganas,595.7,1462.91,2455.78
2011,West Bengal,24 Parganas,610.43,1500.62,2458.3
2012,West Bengal,24 Parganas,595.84,1553.5,2607.24
2013,West Bengal,24 Parganas,612.93,1658.81,2706.36
2014,West Bengal,24 Parganas,620.48,1702.5,2743.84
2015,West Bengal,24 Parganas,622.27,1602.26,2574.86
2016,West Bengal,24 Parganas,582.01,1554.29,2670.56
2017,West Bengal,24 Parganas,606.14,1690.69,2789.27
1966,West Bengal,Nadia,204.87,133.21,650.22
1967,West Bengal,Nadia,208.44,189.69,910.05
1968,West Bengal,Nadia,233.3,176.28,755.59
1969,West Bengal,Nadia,215.3,196.53,912.82
1970,West Bengal,Nadia,206.8,176.83,855.08
1971,West Bengal,Nadia,155.7,100.0,642.26
1972,West Bengal,Nadia,216.0,180.63,836.25
1973,West Bengal,Nadia,204.3,184.75,904.31
1974,West Bengal,Nadia,240.7,259.25,1077.07
1975,West Bengal,Nadia,245.7,277.09,1127.76
1976,West Bengal,Nadia,238.6,209.95,879.92
1977,West Bengal,Nadia,225.6,302.45,1340.65
1978,West Bengal,Nadia,171.9,212.69,1237.29
1979,West Bengal,Nadia,208.7,272.86,1307.43
1980,West Bengal,Nadia,208.4,280.5,1345.97
1981,West Bengal,Nadia,222.36,276.61,1243.97
1982,West Bengal,Nadia,207.48,234.71,1131.24
1983,West Bengal,Nadia,232.23,359.66,1548.72
1984,West Bengal,Nadia,211.78,396.7,1873.17
1985,West Bengal,Nadia,183.23,375.97,2051.9
1986,West Bengal,Nadia,263.61,508.49,1928.95
1987,West Bengal,Nadia,271.36,493.19,1817.47
1988,West Bengal,Nadia,262.29,583.84,2225.93
1989,West Bengal,Nadia,283.39,659.31,2326.51
1990,West Bengal,Nadia,284.97,695.11,2439.24
1991,West Bengal,Nadia,258.82,682.01,2635.07
1992,West Bengal,Nadia,280.17,673.24,2402.97
1993,West Bengal,Nadia,291.65,755.91,2591.84
1994,West Bengal,Nadia,288.25,700.64,2430.67
1995,West Bengal,Nadia,299.88,721.01,2404.33
1996,West Bengal,Nadia,289.41,710.45,2454.82
1997,West Bengal,Nadia,303.99,747.26,2458.17
1998,West Bengal,Nadia,305.12,843.72,2765.21
1999,West Bengal,Nadia,319.78,816.81,2554.29
2000,West Bengal,Nadia,229.19,650.0,2836.07
2001,West Bengal,Nadia,341.64,958.73,2806.26
2002,West Bengal,Nadia,341.73,999.06,2923.54
2003,West Bengal,Nadia,309.68,840.09,2712.77
2004,West Bengal,Nadia,286.13,763.67,2668.96
2005,West Bengal,Nadia,265.41,732.44,2759.65
2006,West Bengal,Nadia,250.31,677.7,2707.44
2007,West Bengal,Nadia,240.7,683.0,2837.56
2008,West Bengal,Nadia,277.2,799.5,2884.2
2009,West Bengal,Nadia,238.8,664.9,2784.34
2010,West Bengal,Nadia,235.74,650.47,2759.27
2011,West Bengal,Nadia,252.14,744.49,2952.68
2012,West Bengal,Nadia,232.86,668.3,2869.96
2013,West Bengal,Nadia,239.03,734.42,3072.5
2014,West Bengal,Nadia,242.85,780.86,3215.4
2015,West Bengal,Nadia,237.13,743.07,3133.6
2016,West Bengal,Nadia,226.16,733.95,3245.22
2017,West Bengal,Nadia,242.66,804.3,3314.53
1966,West Bengal,Murshidabad,296.74,340.05,1145.95
1967,West Bengal,Murshidabad,294.31,293.79,998.23
1968,West Bengal,Murshidabad,309.7,311.24,1004.97
1969,West Bengal,Murshidabad,290.7,279.29,960.75
1970,West Bengal,Murshidabad,290.1,312.25,1076.35
1971,West Bengal,Murshidabad,234.5,205.11,874.67
1972,West Bengal,Murshidabad,293.5,272.08,927.02
1973,West Bengal,Murshidabad,294.9,329.08,1115.9
1974,West Bengal,Murshidabad,333.2,399.44,1198.8
1975,West Bengal,Murshidabad,324.4,405.43,1249.78
1976,West Bengal,Murshidabad,308.7,333.6,1080.66
1977,West Bengal,Murshidabad,315.4,453.01,1436.3
1978,West Bengal,Murshidabad,272.8,348.59,1277.82
1979,West Bengal,Murshidabad,319.2,466.69,1462.06
1980,West Bengal,Murshidabad,302.5,421.39,1393.02
1981,West Bengal,Murshidabad,307.87,313.05,1016.83
1982,West Bengal,Murshidabad,287.28,265.63,924.64
1983,West Bengal,Murshidabad,331.67,489.43,1475.65
1984,West Bengal,Murshidabad,303.12,477.78,1576.21
1985,West Bengal,Murshidabad,275.03,435.63,1583.94
1986,West Bengal,Murshidabad,301.84,463.88,1536.84
1987,West Bengal,Murshidabad,356.82,532.61,1492.66
1988,West Bengal,Murshidabad,366.26,757.7,2068.75
1989,West Bengal,Murshidabad,348.68,739.23,2120.08
1990,West Bengal,Murshidabad,353.95,785.36,2218.84
1991,West Bengal,Murshidabad,338.84,764.42,2255.99
1992,West Bengal,Murshidabad,360.16,818.81,2273.46
1993,West Bengal,Murshidabad,357.22,792.16,2217.57
1994,West Bengal,Murshidabad,345.82,793.19,2293.65
1995,West Bengal,Murshidabad,341.22,738.08,2163.06
1996,West Bengal,Murshidabad,337.03,908.92,2696.85
1997,West Bengal,Murshidabad,345.29,896.78,2597.18
1998,West Bengal,Murshidabad,362.98,994.05,2738.58
1999,West Bengal,Murshidabad,388.08,811.33,2090.63
2000,West Bengal,Murshidabad,224.12,548.18,2445.92
2001,West Bengal,Murshidabad,395.06,1085.35,2747.3
2002,West Bengal,Murshidabad,406.72,1072.8,2637.69
2003,West Bengal,Murshidabad,403.46,1113.59,2760.1
2004,West Bengal,Murshidabad,410.7,1194.42,2908.25
2005,West Bengal,Murshidabad,404.26,1189.59,2942.64
2006,West Bengal,Murshidabad,395.07,1030.7,2608.9
2007,West Bengal,Murshidabad,398.4,1142.4,2867.47
2008,West Bengal,Murshidabad,399.5,1123.7,2812.77
2009,West Bengal,Murshidabad,373.1,1040.4,2788.53
2010,West Bengal,Murshidabad,304.18,861.73,2832.96
2011,West Bengal,Murshidabad,351.02,957.31,2727.22
2012,West Bengal,Murshidabad,352.39,973.7,2763.13
2013,West Bengal,Murshidabad,350.73,1116.7,3183.93
2014,West Bengal,Murshidabad,367.46,1190.49,3239.78
2015,West Bengal,Murshidabad,383.0,1257.25,3282.64
2016,West Bengal,Murshidabad,375.29,1235.66,3292.58
2017,West Bengal,Murshidabad,367.54,1178.19,3205.58
1966,West Bengal,Burdwan,436.48,597.28,1368.4
1967,West Bengal,Burdwan,458.82,625.65,1363.61
1968,West Bengal,Burdwan,472.8,687.22,1453.51
1969,West Bengal,Burdwan,476.1,629.26,1321.7
1970,West Bengal,Burdwan,463.2,616.88,1331.78
1971,West Bengal,Burdwan,499.8,616.16,1232.81
1972,West Bengal,Burdwan,496.0,709.42,1430.28
1973,West Bengal,Burdwan,526.2,664.17,1262.2
1974,West Bengal,Burdwan,535.4,806.35,1506.07
1975,West Bengal,Burdwan,539.2,823.46,1527.19
1976,West Bengal,Burdwan,487.7,711.36,1458.6
1977,West Bengal,Burdwan,540.5,946.88,1751.86
1978,West Bengal,Burdwan,544.7,845.93,1553.02
1979,West Bengal,Burdwan,456.0,809.2,1774.56
1980,West Bengal,Burdwan,548.0,996.76,1818.91
1981,West Bengal,Burdwan,467.98,845.16,1805.97
1982,West Bengal,Burdwan,436.67,717.13,1642.27
1983,West Bengal,Burdwan,536.71,1078.84,2010.1
1984,West Bengal,Burdwan,545.77,1059.46,1941.22
1985,West Bengal,Burdwan,538.88,1013.19,1880.18
1986,West Bengal,Burdwan,523.97,1191.82,2274.6
1987,West Bengal,Burdwan,563.45,1241.1,2202.68
1988,West Bengal,Burdwan,542.18,1406.8,2594.71
1989,West Bengal,Burdwan,545.79,1376.19,2521.46
1990,West Bengal,Burdwan,560.6,1420.41,2533.73
1991,West Bengal,Burdwan,560.36,1532.59,2735.01
1992,West Bengal,Burdwan,543.6,1406.33,2587.07
1993,West Bengal,Burdwan,605.75,1641.63,2710.08
1994,West Bengal,Burdwan,605.49,1694.36,2798.33
1995,West Bengal,Burdwan,615.45,1668.48,2710.99
1996,West Bengal,Burdwan,626.24,1741.45,2780.8
1997,West Bengal,Burdwan,653.56,1929.34,2952.05
1998,West Bengal,Burdwan,700.72,2145.29,3061.55
1999,West Bengal,Burdwan,678.37,1859.06,2740.48
2000,West Bengal,Burdwan,582.65,1571.4,2696.99
2001,West Bengal,Burdwan,660.09,1930.62,2924.78
