District,Year,Area,Production,Yield
24 PARAGANAS NORTH,2018-19,231637.0,775029.0,3.3458773857371664
24 PARAGANAS NORTH,2019-20,227173.0,667791.0,2.9395702834403736
24 PARAGANAS SOUTH,2018-19,404236.0,1083847.0,2.6812233447787928
24 PARAGANAS SOUTH,2019-20,417538.0,1017645.0,2.437251220248217
ALIPURDUAR,2018-19,77976.0,165460.0,2.1219349543449266
ALIPURDUAR,2019-20,81344.0,193773.0,2.3821425059008656
BANKURA,2018-19,384203.0,921936.0,2.3996064580443153
BANKURA,2019-20,386585.0,997336.0,2.579862126052485
BIRBHUM,2018-19,388365.0,1197661.0,3.0838541063175104
BIRBHUM,2019-20,387173.0,1334010.0,3.4455140208640582
COOCHBEHAR,2018-19,287596.0,837955.0,2.913653180155496
COOCHBEHAR,2019-20,274868.0,835353.0,3.0391060436282142
DARJEELING,2018-19,26444.0,63114.0,2.3867039782181214
DARJEELING,2019-20,25569.0,66682.0,2.6079236575540694
DINAJPUR DAKSHIN,2018-19,186262.0,577112.0,3.0983882917610677
DINAJPUR DAKSHIN,2019-20,177495.0,555446.0,3.1293613904617033
DINAJPUR UTTAR,2018-19,221257.0,646243.0,2.9207799075283494
DINAJPUR UTTAR,2019-20,231106.0,713283.0,3.086388929755177
HOOGHLY,2018-19,270216.0,885094.0,3.2755055215087188
HOOGHLY,2019-20,267703.0,891622.0,3.3306388049442854
HOWRAH,2018-19,111509.0,335216.0,3.006178873454161
HOWRAH,2019-20,102398.0,273731.0,2.673206507939608
JALPAIGURI,2018-19,126970.0,354064.0,2.7885642277703395
JALPAIGURI,2019-20,132186.0,353436.0,2.6737778584721528
JHARGRAM,2018-19,160799.0,467627.0,2.908146194939023
JHARGRAM,2019-20,158495.0,492048.0,3.1045017192971387
KALIMPONG,2018-19,4752.0,8381.0,1.7636784511784511
KALIMPONG,2019-20,4735.0,7630.0,1.611404435058078
MALDAH,2018-19,205374.0,666851.0,3.247007897786477
MALDAH,2019-20,204950.0,665346.0,3.2463820444010736
MEDINIPUR EAST,2018-19,410215.0,1297004.0,3.161766390795071
MEDINIPUR EAST,2019-20,402582.0,1092049.0,2.7126125857589263
MEDINIPUR WEST,2018-19,580754.0,1921251.0,3.3082010627563476
MEDINIPUR WEST,2019-20,599663.0,1739539.0,2.9008609835857806
MURSHIDABAD,2018-19,354267.0,1068505.0,3.016100850488473
MURSHIDABAD,2019-20,327366.0,1001925.0,3.0605652389069116
NADIA,2018-19,229661.0,759896.0,3.308772495112361
NADIA,2019-20,216480.0,723032.0,3.3399482631189947
PASCHIM BARDHAMAN,2018-19,42617.0,112826.0,2.6474411619776146
PASCHIM BARDHAMAN,2019-20,41214.0,127472.0,3.0929295870335323
PURBA BARDHAMAN,2018-19,525302.0,1744632.0,3.3211980917643564
PURBA BARDHAMAN,2019-20,537831.0,1930147.0,3.5887611535965758
PURULIA,2018-19,282160.0,617545.0,2.1886341083073435
PURULIA,2019-20,286521.0,796725.0,2.780686232422754
